created_at,retweet_count,favorite_count,is_retweet
04-30-2018 18:54:28,24315,100560,false
04-30-2018 12:19:33,19322,85587,false
04-30-2018 12:10:58,22329,99724,false
04-30-2018 02:59:23,19095,86504,false
04-30-2018 02:38:00,22218,100972,false
04-30-2018 01:29:09,14436,69988,false
04-29-2018 11:54:02,26365,140562,false
04-29-2018 11:45:40,18538,81981,false
04-29-2018 11:21:32,20868,105419,false
04-28-2018 22:45:49,8470,49947,false
04-28-2018 19:11:51,38465,132119,false
04-28-2018 13:54:16,18690,94843,false
04-28-2018 13:45:20,23637,98466,false
04-28-2018 12:58:18,20779,77139,false
04-28-2018 12:15:49,21498,91396,false
04-28-2018 12:07:16,25621,90900,false
04-28-2018 02:04:31,27256,112080,false
04-28-2018 01:19:53,7240,26462,false
04-27-2018 20:05:03,9405,0,true
04-27-2018 19:23:23,11768,48498,false
04-27-2018 19:22:02,7104,0,true
04-27-2018 14:14:58,33502,118870,false
04-27-2018 13:28:21,11485,71847,false
04-27-2018 13:11:14,34250,144157,false
04-27-2018 11:50:02,24857,111034,false
04-27-2018 11:23:27,11885,63488,false
04-27-2018 10:55:48,39184,131915,false
04-27-2018 10:41:23,25382,119052,false
04-27-2018 10:26:35,24741,105949,false
04-26-2018 23:39:32,22798,98093,false
04-26-2018 22:17:45,11253,81450,false
04-26-2018 01:41:03,14082,76531,false
04-25-2018 21:18:51,60613,232817,false
04-25-2018 19:33:07,108482,360127,false
04-25-2018 19:02:39,26560,0,true
04-25-2018 14:11:57,15958,86049,false
04-25-2018 14:10:30,17310,90506,false
04-25-2018 13:29:16,12843,73726,false
04-25-2018 11:53:36,23279,112033,false
04-24-2018 20:19:04,1503,0,true
04-24-2018 20:18:39,20473,93543,false
04-24-2018 19:18:25,9289,48598,false
04-24-2018 19:06:57,14722,59274,false
04-24-2018 19:05:40,8,10,false
04-24-2018 18:41:09,10676,54374,false
04-24-2018 18:02:04,16662,60492,false
04-24-2018 17:56:10,7020,39232,false
04-24-2018 16:43:34,10371,51169,false
04-24-2018 10:42:47,9148,0,true
04-23-2018 20:08:34,32499,153073,false
04-23-2018 13:51:17,25397,105789,false
04-23-2018 13:44:46,25833,103444,false
04-23-2018 13:15:19,22976,89589,false
04-22-2018 20:12:26,17438,94024,false
04-22-2018 20:04:10,24380,94712,false
04-22-2018 18:43:38,28486,121116,false
04-22-2018 17:23:41,20189,96235,false
04-22-2018 14:06:06,16998,90818,false
04-22-2018 13:02:01,22147,105896,false
04-22-2018 12:50:22,25880,102093,false
04-22-2018 12:22:37,20691,88423,false
04-21-2018 22:30:45,22246,88997,false
04-21-2018 22:27:59,7606,0,true
04-21-2018 20:13:08,17787,68734,false
04-21-2018 19:24:21,20812,76013,false
04-21-2018 19:02:05,20974,99454,false
04-21-2018 18:52:28,23745,96233,false
04-21-2018 15:47:48,12057,78457,false
